,Tag,question
10,c++ c,use c socket api c++ zos use c socket api c++ zos use c socket api c++ zos issue get c sockets api work properly c++ zos although include syssocketh still get compile time errors tell afinet define miss something obvious relate fact zos make problems much complicate discover ifdef hit apparently zos happy unless define type sockets use define oesockets personally idea oesockets actually zos sockets programmers 3 perhaps could give rundown work test app include syssocketh int main return afinet compilelink output cxx -wc xplink -wl xplink -o inettest inetc inetc line 516 ccn5274 name lookup afinet find declaration ccn0797 compilation fail file inetc object file create check syssocketsh include definition need far tell block ifdef statements however notice contain follow ifdef cplusplus extern c endif encapsulate basically whole file sure matter
11,sql sql-server,check change sql server table check change sql server table check change sql server table monitor sql server database change table without use trigger modify structure database way prefer program environment .net c like able support sql server 2000 sp4 newer application bolt-on data visualization another company product customer base thousands want put requirements modify third-party vendor table every installation change table mean change table data change table structure ultimately would like change trigger event application instead check change interval best course action give requirements trigger schema modification sql server 2000 2005 seem use binarychecksum function t-sql way plan implement every x second run follow query select checksumagg binarychecksum sampletable nolock compare store value value change go table row row use query select rowid binarychecksum sampletable nolock compare return checksums store value
12,.net c#,reliable timer console application reliable timer console application reliable timer console application aware .net three timer type see compare timer class .net framework class library choose thread timer type drift main thread busy need reliable way timer work control timer put another thread always tick along work begin complete parent thread busy issue timer console application timer tick along another thread main thread anything application close try add true loop main thread busy timer go
13,php,best way allow plugins php application best way allow plugins php application best way allow plugins php application start new web application php time around want create something people extend use plugin interface one go write hook code plugins attach specific events
14,html,multiple submit button html form multiple submit button html form multiple submit button html form let say create wizard html form one button go back one go forward since back button appear first markup press enter use button submit form example form -- put cursor field press enter -- input type text name field1 -- button submit -- input type submit name prev value previous page -- button want submit -- input type submit name next value next page form would like get decide button use submit form user press enter way press enter wizard move next page previous use tabindex
15,c#,get distinct order list name datatable use linq get distinct order list name datatable use linq get distinct order list name datatable use linq datatable name column want generate collection unique name order alphabetically follow query ignore order clause var name datarow dr datatablerows orderby string dr name select string dr name distinct orderby get enforce
16,svn,get subclipse aptana work newest release subversion get subclipse aptana work newest release subversion get subclipse aptana work newest release subversion version subclipse 124 currently available aptana automatic plugins manager work newest version subversion see subclipse website however 142 eclipse add new remote update site update manager try install tell need mylyn 300 much search find mylyn 300 add another new remote update site update manager try install tell need orgeclipseui 330 equivalent look configuration detail aptana look like build eclipse 322 anyone know way upgrade version eclipse aptana build 330 way get subclipse work newest version subversion know necessarily program question hope ok since highly relevant program experience
17,database php sql,flat file databases flat file databases flat file databases best practice around create flat file database structure php lot mature php flat file frameworks attempt implement sql-like query syntax top purpose case would use database point elegant trick get good performance feature small code overhead
18,svn,branch merge tortoisesvn branch merge tortoisesvn branch merge tortoisesvn branch merge apache subversion use tortoisesvn client
19,.net performance,anatomy memory leak anatomy memory leak anatomy memory leak .net perspective memory leak determine whether application leak effect prevent memory leak application memory leak go away process exit kill memory leak application affect process system even process completion unmanaged code access via com interop andor pinvoke
20,svn windows,best subversion clients windows vista 64bit best subversion clients windows vista 64bit best subversion clients windows vista 64bit use tortoisesvn windows environment quite time seem feature-complete nicely integrate windows shell importantly fairly painless teach colleagues little experience source control however since move windows vista 64bit tortoise buggy seem cause lot explorerexe abnormalities crash happen older versions software latest version 151 build 13563 curious anyone suggestions subversion clients run windows specifically vista 64bit developers use variety text editors use visual studio dreamweaver svn ideal hear great things cornerstone would love something similar windows exist correlate vistaexplorer problems tortoise normally occur use functionality tortoise sometimes bring merge screen cause gui start act strange eventually hang crash see 152 -- instal maybe fix issue
21,sql c#,decode t-sql cast cvbnet decode t-sql cast cvbnet decode t-sql cast cvbnet recently site deluge resurgence asprox botnet sql injection attack without go detail attack attempt execute sql code encode t-sql command ascii encode binary string look something like declare 20s 20nvarchar 4000 set 20scast 0x44004500 06f007200 20as 20nvarchar 4000 exec -- able decode sql little wary since know exactly happen time try write simple decode tool could decode type text without even touch sql server main part need decode cast 0x44004500 06f007200 nvarchar 4000 try follow command luck txtdecodedtexttext systemwebhttputilityurldecode txturltexttext txtdecodedtexttext encodingasciigetstring encodingasciigetbytes txturltexttext txtdecodedtexttext encodingunicodegetstring encodingunicodegetbytes txturltexttext txtdecodedtexttext encodingasciigetstring encodingunicodegetbytes txturltexttext txtdecodedtexttext encodingunicodegetstring convertfrombase64string txturltexttext proper way translate encode without use sql server possible take vb.net code since familiar okay sure miss something since input basic string start snippet encode portion - 4445434c41 translate decla - first attempt txtdecodedtexttext encodingutf8getstring encodingutf8getbytes txturltext return exact thing put since convert character byte realize need parse every two character byte manually since know methods yet little decoder look something like boolisdone byturlchar byteparse txturltexttextsubstring intparseindex 2 byturl inturlindex byturlchar intparseindex 2 inturlindex txturltexttextlength - intparseindex 2 boolisdone true txtdecodedtexttext encodingutf8getstring byturl things look good first couple pair loop balk get 4c pair say string incorrect format interestingly enough step debugger getstring method byte array able parse point get - result figure miss - need direct cast byte instead attempt parse
22,asp.net sql xml,asp.net site map asp.net site map asp.net site map anyone experience create sql-based asp.net site-map providers default xml file websitemap work properly menu sitemappath control need way users site create modify page dynamically need tie page view permissions standard asp.net membership system well
23,xml java,java lib app convert csv xml file java lib app convert csv xml file java lib app convert csv xml file exist application library java allow convert csv data file xml file xml tag would provide possibly first row contain column head
24,java php,would access object properties within object method would access object properties within object method would access object properties within object method purist correct way access object properties within object method gettersetter method know outside object use gettersetter within would java string property thisproperty php property this-property would java string property thisgetproperty php property this-getproperty forgive java little year since program java edit seem people assume talk private protect variablesproperties learn oo teach use getterssetters every single property even public actually tell never make variableproperty public may start false assumption get go appear people answer question maybe say public properties need getters setters go teach talk although maybe need discuss well probably good topic different question though
25,sql-server mysql,export data sql server 2005 mysql export data sql server 2005 mysql export data sql server 2005 mysql bang head sql server 2005 try get lot data give database nearly 300 table need turn mysql database first call use bcp unfortunately produce valid csv - string encapsulate deal row string comma whatever use delimiter would still hand write create table statements obviously csv tell anything data type would better tool could connect sql server mysql copy lose view store procedures trigger etc hard copy table use base type one db another anybody know tool mind many assumptions make simplifications occur long support integer float datetime string lot prune normalise etc anyway care keep key relationships anything like need initial set data fast
26,.net database,xsd datasets ignore foreign key xsd datasets ignore foreign key xsd datasets ignore foreign key pretty standard table set-up current application use .net xsd dataset tableadapter feature contract table consist standard contract information column primary department column foreign key departments table store basic department name id note setup function sql server use xsd tool drag table auto detectscreates foreign key two table work great main page view contract data however go administrative page modify department data typically something like dim dtdepartment new departmentdatatable dim tadepartment new departmenttableadapter tadepartmentfill dtdepartment however point exception throw say effect foreign key reference break guess since contract datatable fill fix problem know simply remove foreign key xsd make things work fine additional integrity check xsd schema match sql schema database nice
27,c# .net,compress decompress folders amp file compress decompress folders amp file compress decompress folders amp file anyone know good way compress decompress file folders c# quickly handle large file might necessary
28,php,track file download track file download track file download website play mp3s flash player user click play flash player automatically download mp3 start play easy way track many time particular song clip binary file download play link link actual mp3 file javascript code pop player latter easily add log code track number hit former need something track web server log make distinction host plan come webalizer nicely javascript code answer however would nice know track download use method without switch host
29,asp.net .net svn,sync svn revision number asp.net web site sync svn revision number asp.net web site sync svn revision number asp.net web site stack overflow subversion version number bottom svn revision 679 want use automatic versioning .net web siteapplication windows form wpd projectssolutions implement
30,windows,embed windows media player browsers embed windows media player browsers embed windows media player browsers edit question write 2008 like 3 internet age ago question still relevant environment please accept condolences everyone else convert format support browsers would h264 internet explorer need probably av1 vp8vp9 use video element use wmv videos internal site embed web sit work quite well internet explorer firefox find ways make work firefox stop work internet explorer want use silverlight yet especially since cannot sure clients run windows xp windows media player instal sort universal code embed wmp internet explorer firefox need implement user-agent-detection deliver different html different browsers
31,database svn sql-server,version control sql server database version control sql server database version control sql server database want get databases version control always want least data alumb mention user type administrators also often want large collection generate test data performance measurements would apply version control database
32,c# html,print html document web service print html document web service print html document web service want print html c# web service web browser control overkill function well service environment function well system tight security constraints sort free .net library support print basic html page code far run properly public void printthing string document threadcurrentthreadgetapartmentstate apartmentstatesta thread thread new thread threadstart delegate printdocument document threadsetapartmentstate apartmentstatesta threadstart else printdocument document protect void printdocument string document webbrowser browser new webbrowser browserdocumenttext document browserreadystate webbrowserreadystatecomplete applicationdoevents browserprint work fine call ui-type thread nothing happen call service-type thread change print showprintpreviewdialog yield follow ie script error error dialogargumentsieprinttype null object url resieframedllpreviewdlg small empty print preview dialog appear
33,language-agnostic,function create color wheel function create color wheel function create color wheel something pseudo-solved many time never quite find solution problem come way generate n color distinguishable possible n parameter
34,c# asp.net .net,float point number parse catch algorithm float point number parse catch algorithm float point number parse catch algorithm one fun part multi-cultural program number format americans use 1000050 germans use 1000050 french use 10 00050 first approach would take string parse backwards encounter separator use decimal separator obvious flaw 10000 would interpret 10 another approach string contain 2 different non-numeric character use last one decimal separator discard others one check occur discard appear check 3 digits yes discard otherwise use decimal separator obvious best solution would detect user culture browser work frenchman use en-us windowsbrowser .net framework contain mythical black magic float point parser better double try parse try auto-detect number format
35,sql-server,upgrade sql server 65 upgrade sql server 65 upgrade sql server 65 yes know existence run copy sql server 65 2008 absurd stipulate best way migrate 65 2005 direct path documentation find deal upgrade 65 7 forget native sql server upgrade utilities script object data try recreate scratch go attempt upgrade weekend server issue push back till next ideas would welcome course week update end back database question master 65 execute sql server 2000 instcatsql 65 master allow sql server 2000 oledb provider connect 65 use sql server 2000 standalone import export data create dts package use oledb connect 65 successfully copy 65 table new 2005 database also use oledb use 65 enterprise manager script database index trigger sql file execute sql file new copy database 2005 management studio use 65 enterprise manager script store procedures execute sql file 2005 database several dozen sprocs issue make incompatible 2005 mainly non-ansi join quote identifier issue correct issue re-executed sql file recreate 65 logins 2005 give appropriate permissions bite rinserepeat correct store procedures hundreds correct upgrade go great otherwise able use management studio instead query analyzer enterprise manager 65 amaze difference report query take 20-30 second 65 database run 1-2 second without modification new index anything expect kind immediate improvement
36,php,best way generate tag cloud array use h1 h6 size best way generate tag cloud array use h1 h6 size best way generate tag cloud array use h1 h6 size follow array artist array root michael jackson billy idol andyetmore count array 5 3 9 1 1 3 want generate tag cloud artists higher number count enclose h6 tag lowest enclose h1 tag
37,windows,register windows program mailto protocol programmatically register windows program mailto protocol programmatically register windows program mailto protocol programmatically make mailto link register program would handle event program solutions find quick google search manually need automatically users program click button set default email client edit remove reference delphi answer independent language
38,sql-server mysql,sql server 2005 implementation mysql replace sql server 2005 implementation mysql replace sql server 2005 implementation mysql replace mysql incredibly useful yet proprietary replace sql command easily emulate sql server 2005 start new transaction select either update insert commit always little bite pain especially application therefore always keep 2 versions statement wonder easy universal way implement function sql server 2005
39,.net database,create sqlite database base xsd data set create sqlite database base xsd data set create sqlite database base xsd data set anybody know way create sqlite database base xsd dataset past use basic sqlite manager want fuse things bite .net development possible
40,c# .net,add script functionality .net applications add script functionality .net applications add script functionality .net applications little game write c use database back-end trade card game want implement function card script mean essentially interface icard card class implement public class card056 icard contain function call game make thing maintainablemoddable would like class card source code database essentially compile first use addchange card add database tell application refresh without need assembly deployment especially since would talk 1 assembly per card mean hundreds assemblies possible register class source file instantiate etc icard card current new mygamecardlibrarycard056 card current onenterplay ref currentgamestate language c# extra bonus possible write script .net language
41,c,gtk implementation messagebox gtk implementation messagebox gtk implementation messagebox try implement win32 messagebox use gtk app use sdlopengl gtk app handle initialization gtkinit sort stuff inside messagebox function follow int messagebox hwnd hwnd const char text const char caption uint type gtkwidget window null gtkwidget dialog null gtkinit gtkargc gtkargv window gtkwindownew gtkwindowtoplevel gsignalconnect gobject window deleteevent gcallback deleteevent null gsignalconnect gobject window destroy gcallback destroy null gcallback call gtkmainquit gtkinitadd gtkfunction gcallback null type amp mbyesno dialog gtkmessagedialognew gtkwindow window gtkdialogdestroywithparent gtkmessagequestion gtkbuttonsyesno text else dialog gtkmessagedialognew gtkwindow window gtkdialogdestroywithparent gtkmessageinfo gtkbuttonsok text gtkwindowsettitle gtkwindow dialog caption gint result gtkdialogrun gtkdialog dialog gtkmain gtkwidgetdestroy dialog type amp mbyesno switch result default case gtkresponsedeleteevent case gtkresponseno return idno break case gtkresponseyes return idyes break return idok mean experience gtk programmer realize probably something horribly wrong however problem last dialog pop function stay around process exit ideas
42,c++,berkeleydb concurrency berkeleydb concurrency berkeleydb concurrency optimal level concurrency c++ implementation berkeleydb reasonably support many thread hammer away db throughput start suffer resource contention read manual know set number lock lockers database page size etc like advice someone real-world experience bdb concurrency application pretty simple get put record 1kb cursors delete
43,svn,best practice collaborative environment bin directory svn best practice collaborative environment bin directory svn best practice collaborative environment bin directory svn best practice check bin directories collaborative development environment use svn project level reference exclude checkin easier add bin directories develop lot dotnetnuke sit seem multi-developer environment always huge task get environment setup correctly ultimate goal course new developer checkout trunk svn restore dnn database work
44,c# .net,sort dictionary value sort dictionary value sort dictionary value often sort dictionary consist key amp value value example hash word respective frequencies want order frequency sortedlist good single value say frequency want map back word sorteddictionary order key value resort custom class cleaner way
45,database sql,version control system database structure change version control system database structure change version control system database structure change often run follow problem work change project require new table columns database make database modifications continue work usually remember write change replicate live system however always remember change always remember write make push live system get big obvious error newcolumnx ugh regardless fact may best practice situation version control system databases care specific database technology want know one exist happen work ms sql server great
46,php,php session security php session security php session security guidelines maintain responsible session security php information web time land one place
47,c++,use nest class case use nest class case use nest class case work collection class use video playback record one main class act like public interface methods like play stop pause record etc workhorse class video decode video encode learn existence nest class c++ curious know programmers think use little wary really sure benefitsdrawbacks seem accord book read use case mine book suggest scenario like mine good solution would nest workhorse class inside interface class separate file class client mean use avoid possible name conflict know justifications nest class new concept want see programmers think issue
48,language-agnostic,use unsigned value sign ones use unsigned value sign ones use unsigned value sign ones appropriate use unsigned variable sign one loop hear lot opinions want see anything resemble consensus unsigned int 0 somethinglength something var somethingat get idea know java unsigned value must concious decision sun microsystems part
49,xml python,xml process python xml process python xml process python build piece project need construct post xml document web service like python mean expand skills unfortunately whilst know xml model fairly well .net uncertain pros con xml model python anyone experience xml process python would suggest start xml file build fairly simple
50,language-agnostic,generate list possible permutations string generate list possible permutations string generate list possible permutations string would go generate list possible permutations string x character length contain variable list character language would work portable
51,java,mean type safety warn certain java generics cast mean type safety warn certain java generics cast mean type safety warn certain java generics cast mean java warn type safety cast object listinteger actually check erase type list get warn try cast object type generic information follow code object object getmylist listinteger list listinteger object
52,python,find full path font display name mac find full path font display name mac find full path font display name mac use photoshop javascript api find fonts give psd give font name return api want find actual physical font file font name correspond disc happen python program run osx guess look one photoshop javascript python function osx api call python
53,.net,homegrown consumption web service homegrown consumption web service homegrown consumption web service write web service .net app ready consume see numerous examples homegrown code consume service oppose use auto generate methods visual studio create add web reference advantage
54,c#,winforms combobox data bind gotcha winforms combobox data bind gotcha winforms combobox data bind gotcha assume something like follow liststring myitems new liststring item 1 item 2 item 3 combobox box new combobox boxdatasource myitems combobox box2 new combobox box2datasource myitems 2 combo box bind array everything work fine change value one combo box change combo box one select know array always pass reference learn learn c earth would combo box change together believe combo box control modify collection workaround would achieve functionality expecteddesired combobox box new combobox boxdatasource myitemstoarray
55,python windows,get preview jpeg pdf windows get preview jpeg pdf windows get preview jpeg pdf windows cross-platform python application need generate jpeg preview first page pdf mac spawn sip something similarly simple windows
56,python,continuous integration system python codebase continuous integration system python codebase continuous integration system python codebase start work hobby project python codebase would like set form continuous integration ie run battery test-cases time check-in make send nag e-mail responsible persons test fail similar cruisecontrol teamcity realize could hook vcses require test run machine version control server elegant would like anyone suggestions small user-friendly open-source continuous integration system suitable python codebase
57,language-agnostic,definitive guide form-based website authentication definitive guide form-based website authentication definitive guide form-based website authentication moderator note question good fit question answer format topicality rule currently apply stack overflow normally use historical lock question content still value however answer question actively maintain historical lock permit edit answer wiki answer lock apply allow answer edit assume topicality issue normally handle historical lock present ie question good example on-topic question stack overflow form-based authentication websites believe stack overflow resource specific technical question also general guidelines solve variations common problems form base authentication websites fine topic experiment include topics log log remain log manage cookies include recommend settings sslhttps encryption store passwords use secret question forget usernamepassword functionality use nonces prevent cross-site request forgeries csrf openid remember checkbox browser autocompletion usernames passwords secret urls public url protect digest check password strength e-mail validation much form base authentication include things like roles authorization http basic authentication please help us suggest subtopics submit good article subject edit official answer
58,language-agnostic,use combinations set test data use combinations set test data use combinations set test data would like test function tuple set fringe case normal value example test function return true whenever give three lengths form valid triangle would specific case negative small large number value close-to overflow etc main aim generate combinations value without repetition order get set test data inf0 -1 5101000 1055 0 -15 1000 inf inf note actually know answer might helpful others challenge people -- post answer later
59,c# java,difference int integer java c# difference int integer java c# difference int integer java c# read joel software come across joel spolsky say something particular type programmer know difference int integer javac object-oriented program languages difference
60,sql-server,deploy sql server databases test live deploy sql server databases test live deploy sql server databases test live wonder guy manage deployment database 2 sql servers specifically sql server 2005 development live one part buildscript standard windows batch even current complexity script might switch powershell later enterprise managermanagement studio express count would copy mdf file attach always bite careful work binary data seem compatiblity issue even though development live run version server time - give lack explain create table t-sql - something export exist database sql-scripts run target server yes tool automatically dump give database sql query run command line enterprise managermanagement studio express count lastly - give fact live database already contain data deployment may involve create table rather check difference structure alter table live ones instead may also need data verificationconversion exist field change hear lot great stuff red gate products hobby project price bite steep use automatically deploy sql server databases test live
61,windows php,best way access exchange use php best way access exchange use php best way access exchange use php write cms application php one requirements must able interface customer exchange server write functionality time always use webdav lean away run site iis apache preference windows server 2008 things would need include add contact give user address book send email give user run report contact user pretty easy webdav better way require functionality likely deprecate time soon ideas update justin love idea use com object worry maintain 3rd product make everything work john write web service c# interface function access php app also little bite way far 100 convince either better webdav anyone show silly
62,python database sql,cxoracle iterate result set cxoracle iterate result set cxoracle iterate result set several ways iterate result set tradeoff
63,c++ visual-studio,build windows nt 40 use visual studio 2005 build windows nt 40 use visual studio 2005 build windows nt 40 use visual studio 2005 mfc application try migrate use afxexth cause afxdll get set cause error set mt please use md switch afxdll build research date indicate impossible build application execution windows nt 40 use visual studio c++ case 2005 really true workaround available
64,performance,efficient code first 10000 prime number efficient code first 10000 prime number efficient code first 10000 prime number want print first 10000 prime number anyone give efficient code clarifications matter code inefficient n 10000 size code matter cannot hard code value manner
65,sql database,swap unique index column value database swap unique index column value database swap unique index column value database database table one field primary key unique index want swap value column two row could two hack know delete row re-insert update row value swap update actual value want go seem appropriate solution problem could anyone help
66,c# visual-studio,automatically update version number automatically update version number automatically update version number would like version property application incremented build sure enable functionality visual studio 20052008 try specify assemblyversion 10 get exactly want also use settings file earlier attempt assembly version change settings get reset default since application look settings file another directory would like able display version number form 1138 user find problem log version use well tell upgrade old release short explanation versioning work would also appreciate build revision number get incremented
67,asp.net,checklist iis 6aspnet windows authentication checklist iis 6aspnet windows authentication checklist iis 6aspnet windows authentication trouble get asp.net application automatically log users intranet site build matter google experimentation apply always login box display ie7 get windows authentication mode set webconfig disable anonymous access configure correct default domain iis still ask user log annoyingly user require provide domain domainauser cause problems non-technical visitors thank zeus password remember functionality network administrator possible something active directory set incorrectly could miss something simple please note want impersonate user need know iprincipalname property match valid record user database hence authenticate user application end would useful checklist configuration requirements ad asp.net iis work together manner reference debug hopefully reduce user friction
68,php,encrypt passwords encrypt passwords encrypt passwords fastest yet secure way encrypt passwords php preferably whichever method choose portable word later migrate website different server passwords continue work method use tell dependent exact versions libraries instal server
69,python,use match attribute python object array use match attribute python object array use match attribute python object array remember whether dream seem recall function allow something like foo iterattr array python object attribute name look docs kind thing fall obvious list headers
70,php database,connect php ibm as400 connect php ibm as400 connect php ibm as400 get upcoming project wherein need connect website php5apache 13openbsd 41 back-end system run iseries os400 v5r3 access table store check around run roadblocks see db2 extensions db2 software ibm run linux try compile extensions software ibm even try precompiled ibmdb2 extension luck ibm support linux turn linux emulation kernel seem help anything anyone run across get everything run natively openbsd would great think may set second server run centos db2 instal likely via zendcore ibm since seem driver set small transaction server post get json representation db2 data need second option seem overkill anyone else better ideas
71,database .net,embed database .net run network embed database .net run network embed database .net run network still look embed database use .net c# application caveat application least database store network drive use 1 user time first idea sql server compact edition really nicely integreated run network firebird seem issue .net integration seem really first-class largely undocumented blackfish sql look interest trial .net version price also ok suggestions something work well .net run network without need actually instal server software
72,.net c# visual-studio,.net test framework advice .net test framework advice .net test framework advice look introduce unit test framework mix job use visual studio 2005 though may move 2008 within next six months work primarily c framework kind ide integration would best open frameworks integration still relatively simple get set go get resistance one way another make sure push pain neck would help case obvious choice research far point nunit like get impressions someone actually use recommend team anyone use nunit pitfalls limitations aware good options use nunit greatly appreciate idea strengths weaknesses
73,python,class view django class view django class view django django view point function problem want change bite functionality yes could million keyword arguments even statements function think object orient approach example page display user page similar page display group still similar use another data model group also members etc one way would point view class methods extend class anyone try approach idea
74,language-agnostic,format string title case format string title case format string title case format string title case
75,performance c# .net,create new object instance type create new object instance type create new object instance type one may always know type object compile-time may need create instance type get new object instance type
76,.net,localise date format descriptors localise date format descriptors localise date format descriptors best way localise date format descriptor anyone culture use mmddyyyy format know annoy enter date format .net framework provide good localisation support trivial parse date accord users culture often want also display helpful hint format require especially distinguish yy yyyy interchangeable culture best way way make sense users eg ddmyyy confuse change case switch one two letter
77,python mysql,python mysql python mysql python mysql get python work postgresql cannot get work mysql main problem share host account ability install things django pysql generally fail instal computer maybe good install host find bpgsql really good require install single file look read call function anybody know something like mysql
78,python,use itertoolsgroupby use itertoolsgroupby use itertoolsgroupby able find understandable explanation actually use python itertoolsgroupby function try take list - case children objectify lxml element divide group base criteria later iterate group separately review documentation trouble try apply beyond simple list number use itertoolsgroupby another technique use pointers good prerequisite read would also appreciate
79,visual-studio windows,visual studio setup project - per user registry settings visual studio setup project - per user registry settings visual studio setup project - per user registry settings try maintain setup project visual studio 2003 yes legacy application problem moment need write registry entries hkcu every user computer need hkcu rather hklm default user settings change per user feel possible something installer something application happen user profile create install mind still want change little possible application question possible add registry entries every user visual studio 2003 setup project moment project list five registry root key hkeyclassesroot hkeycurrentuser hkeylocalmachine hkeyusers usermachine hive really know anything users root key see usermachine hive anyone enlighten perhaps could solve problem
80,language-agnostic,efficiently get sort sum sort list efficiently get sort sum sort list efficiently get sort sum sort list ascend list number efficient algorithm think get ascend list sum every two number list duplicate result list irrelevant remove avoid like clear interest algorithm feel free post code language paradigm like
81,c#,elegantly express leave join aggregate sql linq query elegantly express leave join aggregate sql linq query elegantly express leave join aggregate sql linq query sql select uid uname isnull max hdatecol 1900-01-01 datecolwithdefault universe u leave join history h uidhid hdatecolgetdate -1 group uid uname
82,database sql-server,edit database record multiple users edit database record multiple users edit database record multiple users design database table normalise ms sql server create standalone windows front end application use handful users add edit information add web interface allow search accross production area later date concern two users start edit record last commit update would winner important information may lose number solutions come mind sure go create bigger headache nothing hope two users never go edit record time - might never happed edit routine could store copy original data well update compare user finish edit differ show user comfirm update - would require two copy data store add last update datetime column check match update show differences - require new column relevant table create edit table register users start edit record check prevent users edit record - would require carful think program flow prevent deadlocks record become lock user crash program better solutions go one
83,javascript html,detect one define font use web page detect one define font use web page detect one define font use web page suppose follow css rule page body font-family calibri trebuchet ms helvetica sans-serif could detect one define fonts use user browser people wonder want font detect contain glyphs available fonts user font want display link ask user download font use web application correct font currently display download font link users want display people correct font instal
